,index,stockcode
0,0,SZ002573
1,1,SZ300182
2,2,SZ300498
3,3,SH600816
4,4,SZ000001
5,5,SZ002603
6,6,SZ002074
7,7,SZ000895
8,8,SZ002405
9,9,SZ300244
10,10,SZ000538
11,11,SZ300072
12,12,SZ300352
13,13,SZ000860
14,14,SH600197
15,15,SH600612
16,16,SH600988
17,17,SZ002236
18,18,SZ002716
19,19,SH601788
20,20,SZ002242
21,21,SZ002706
22,22,SZ300124
23,23,SH600599
24,24,SH601601
25,25,SZ002415
26,26,SZ001979
27,27,SZ399905
28,28,SZ300449
29,29,SZ300368
30,30,SZ399006
31,31,SZ002095
32,32,SZ000651
33,33,SZ300458
34,34,SH600648
35,35,SZ002292
36,36,SZ002130
37,37,SZ300369
38,38,SH600570
39,39,SZ300088
40,40,SZ088551
41,41,SZ002268
42,42,SZ300033
43,43,SZ000629
44,44,SZ002145
45,45,SH601519
46,46,SH600660
47,47,SH600036
48,48,SH601939
49,49,SH600547
50,50,SZ088115
51,51,SH601198
52,52,SZ002460
53,53,SZ002594
54,54,SH600436
55,55,SH600745
56,56,SZ000415
57,57,SZ300401
58,58,SH600511
59,59,SZ002151
60,60,SH600149
61,61,SH600383
62,62,SH600606
63,63,SH600078
64,64,SZ300262
